馬名,全体過去平均着順,前走着順,出走回数,前走脚質_num,前走上がり3F,過去平均上がり3F
ロッキーサンダー,8.333333333333334,10.0,4,4.0,0.0,0.0
ロックウイズユー,5.416666666666667,6.0,13,4.0,35.0,20.416666666666668
ロックエンジェル,9.5,12.0,3,4.0,35.0,35.0
ロッククライム,11.666666666666666,8.0,4,4.0,35.0,35.0
ロッククリーク,9.25,14.0,5,4.0,0.0,0.0
ロックシティボーイ,6.0,6.0,2,4.0,0.0,0.0
ロックターミガン,5.0,10.0,4,4.0,35.0,35.0
ロックバンド,2.5,1.0,5,4.0,35.0,26.25
ロックユアハート,15.5,16.0,5,4.0,0.0,0.0
ロックユー,8.0,8.0,1,4.0,35.0,35.0
ロッサコメータ,4.0,6.0,3,4.0,35.0,35.0
ロッサヴィール,8.0,8.0,1,4.0,35.0,35.0
ロッシニアーナ,4.0,15.0,7,4.0,35.0,23.333333333333332
ロッシュローブ,14.0,14.0,3,4.0,0.0,0.0
ロッソランパンテ,11.0,11.0,2,4.0,0.0,0.0
ロッタリーランド,8.0,8.0,1,4.0,35.0,35.0
ロッツオブプランズ,10.0,14.0,4,4.0,35.0,35.0
ロット,7.0,8.0,12,4.0,35.0,22.272727272727273
ロットブラータ,4.833333333333333,7.0,13,4.0,35.0,26.25
ロッピス,10.25,13.0,5,4.0,35.0,8.75
ロデオクイーン,6.333333333333333,7.0,4,4.0,0.0,0.0
ロデオドライブ,1.0,1.0,4,4.0,35.0,35.0
ロトエンペラー,13.0,13.0,2,4.0,35.0,35.0
ロドピス,14.0,14.0,2,4.0,0.0,0.0
ロネット,5.833333333333333,7.0,7,4.0,35.0,5.833333333333333
ロバートソンキー,11.0,11.0,2,4.0,0.0,0.0
ロパシック,2.0,2.0,5,4.0,0.0,0.0
ロビン,12.5,12.0,3,4.0,35.0,17.5
ロビンバローズ,7.0,1.0,6,4.0,0.0,0.0
ロフティストーリー,3.7142857142857144,5.0,8,4.0,35.0,20.0
ロフティーイデアル,3.857142857142857,7.0,15,4.0,35.0,10.0
ロフティーテーラー,12.0,12.0,2,4.0,0.0,0.0
ロブチェン,1.6666666666666667,3.0,4,4.0,35.0,35.0
ロベルタインパクト,7.75,9.0,5,4.0,35.0,17.5
ロベルタカリーナ,9.777777777777779,12.0,10,4.0,0.0,0.0
ロマンシングブルー,4.5,4.0,7,4.0,0.0,0.0
ロマンス,8.0,8.0,1,4.0,35.0,35.0
ロマンスシアター,11.0,3.0,6,4.0,0.0,0.0
ロマンスドール,8.0,8.0,1,4.0,35.0,35.0
ロマンスヒコー,9.4,8.0,6,4.0,0.0,0.0
ロマンスライト,7.5,10.0,11,4.0,0.0,0.0
ロマンズロック,15.5,16.0,3,4.0,35.0,35.0
ロマンチックウォリアー,8.0,8.0,1,4.0,35.0,35.0
ロマンティー,8.0,8.0,1,4.0,35.0,35.0
ロミオ,7.0,7.0,6,4.0,35.0,28.0
ロミオボス,8.88888888888889,11.0,10,4.0,35.0,3.888888888888889
ロミヒ,6.111111111111111,2.0,10,4.0,35.0,11.666666666666666
ロムネヤ,5.846153846153846,9.0,14,4.0,35.0,10.76923076923077
ロレンツォ,6.9,5.0,11,4.0,35.0,7.0
ロロスピアー,13.0,13.0,3,4.0,0.0,0.0
ロロノア,5.0,5.0,2,4.0,35.0,35.0
ロワゾブルー,9.428571428571429,12.0,8,4.0,35.0,15.0
ロワゾブルーチヌ,9.625,12.0,9,4.0,35.0,13.125
ロワン,10.2,13.0,6,4.0,35.0,14.0
ロワンディシー,9.11111111111111,16.0,10,4.0,35.0,11.666666666666666
ロンギングガバーナ,13.0,9.0,4,4.0,0.0,0.0
ロンギングキイ,10.75,5.0,5,4.0,0.0,0.0
ロンギングジェニー,8.0,8.0,2,4.0,0.0,0.0
ロンギングセリーヌ,2.0,2.0,5,4.0,35.0,35.0
ロンギングタイム,8.0,8.0,1,4.0,35.0,35.0
ロンギングドクター,15.0,13.0,3,4.0,0.0,0.0
ロンギングドルチェ,8.666666666666666,6.0,4,4.0,0.0,0.0
ロンギングバース,6.75,12.0,9,4.0,0.0,0.0
ロンギングフォユー,1.0,1.0,3,4.0,35.0,17.5
ロングウェイホーム,3.909090909090909,1.0,12,4.0,35.0,15.909090909090908
ロングジーニアス,9.0,9.0,3,4.0,35.0,35.0
ロングトールサリー,3.6666666666666665,7.0,4,4.0,35.0,35.0
ロングトーン,9.666666666666666,11.0,4,4.0,0.0,0.0
ロングファイナリー,5.25,11.0,5,4.0,0.0,0.0
ロングフルスペック,8.0,11.0,3,4.0,35.0,35.0
ロングホリデー,2.3333333333333335,1.0,4,4.0,35.0,35.0
ロングラン,7.083333333333333,14.0,13,4.0,35.0,11.666666666666666
ロングレジリエント,8.0,8.0,1,4.0,35.0,35.0
ロングロングロング,9.0,9.0,5,4.0,35.0,8.75
ロンシャンクイーン,6.529411764705882,10.0,18,4.0,35.0,12.352941176470589
ロンズデーライト,6.75,4.0,5,4.0,0.0,0.0
ロンズデールベルト,15.0,15.0,2,4.0,0.0,0.0
ロンティケチャップ,6.461538461538462,14.0,14,4.0,35.0,26.923076923076923
ロンディネ,10.333333333333334,3.0,4,4.0,0.0,0.0
ロンデシャッセ,6.666666666666667,9.0,4,4.0,0.0,0.0
ロンドボス,4.7,6.0,11,4.0,35.0,17.5
ロンドンアームズ,9.76923076923077,9.0,14,4.0,35.0,10.76923076923077
ロンドンオービタル,3.7142857142857144,7.0,8,4.0,35.0,20.0
ロンドンキッド,9.5,8.0,7,4.0,35.0,5.833333333333333
ロンドンプライド,10.0,12.0,4,4.0,35.0,11.666666666666666
ロンドンプラン,12.142857142857142,7.0,8,4.0,35.0,10.0
ロンドンライフ,10.0,10.0,2,4.0,0.0,0.0
ロンバルドシチー,5.666666666666667,5.0,4,4.0,35.0,35.0
ロンパイア,6.846153846153846,14.0,14,4.0,35.0,24.23076923076923
ロンフォン,5.363636363636363,4.0,12,4.0,0.0,0.0
ロンポワン,8.0,8.0,1,4.0,35.0,35.0
ロヴィーサ,3.6666666666666665,4.0,4,4.0,35.0,11.666666666666666
ローガンパス,10.384615384615385,11.0,14,4.0,35.0,18.846153846153847
ローグテソーロ,11.0,10.0,3,4.0,0.0,0.0
ローザサンリヴァル,3.5555555555555554,2.0,10,4.0,35.0,11.666666666666666
ローザリサリ,14.0,14.0,2,4.0,0.0,0.0
ローザレイア,4.666666666666667,5.0,4,4.0,35.0,23.333333333333332
ローシャムパーク,8.5,15.0,7,4.0,35.0,11.666666666666666
ロージーキャンドル,15.0,15.0,2,4.0,35.0,35.0
ローズエクスプレス,11.666666666666666,9.0,4,4.0,0.0,0.0
ローズオブジャパン,6.0,9.0,3,4.0,35.0,35.0
ローズカリス,6.166666666666667,16.0,7,4.0,35.0,35.0
ローズゴジャール,7.384615384615385,11.0,14,4.0,35.0,32.30769230769231
ローズスター,4.333333333333333,2.0,10,4.0,35.0,15.555555555555555
ローズバラード,13.0,13.0,2,4.0,35.0,35.0
ローズバルサム,5.6,6.0,11,4.0,35.0,17.5
ローズパンラズナ,5.75,3.0,5,4.0,0.0,0.0
ローズピリオド,15.0,15.0,2,4.0,0.0,0.0
