馬名,全体過去平均着順,前走着順,出走回数,前走脚質_num,前走上がり3F,過去平均上がり3F
クレバー,8.0,8.0,1,4.0,35.0,35.0
クレバーキュート,7.75,9.0,5,4.0,35.0,35.0
クレバーテースト,8.5,11.0,17,4.0,35.0,10.9375
クレバーナイト,8.0,8.0,1,4.0,35.0,35.0
クレバーピコ,9.0,14.0,6,4.0,0.0,0.0
クレパスキュラー,1.0,1.0,3,4.0,35.0,17.5
クレプスクルム,5.8,5.0,11,4.0,0.0,0.0
クレベール,10.5,9.0,5,4.0,35.0,17.5
クレマチス,5.666666666666667,5.0,4,4.0,35.0,23.333333333333332
クレミーノ,14.0,14.0,2,4.0,0.0,0.0
クレメダンジュ,6.933333333333334,13.0,16,4.0,35.0,14.0
クレヨンポップ,6.6,7.0,6,4.0,0.0,0.0
クレーキング,1.75,1.0,5,4.0,35.0,8.75
クレーブラット,11.0,11.0,3,4.0,0.0,0.0
クロウサギ,8.0,8.0,1,4.0,35.0,35.0
クロウソング,7.5,5.0,5,4.0,0.0,0.0
クロカミジョウ,4.4,2.0,6,4.0,35.0,35.0
クロシェットノエル,3.9411764705882355,4.0,18,4.0,35.0,10.294117647058824
クロシオカレント,11.0,10.0,6,4.0,35.0,28.0
クロジシジョー,3.2222222222222223,3.0,10,4.0,35.0,7.777777777777778
クロスアヴァンセ,8.0,8.0,1,4.0,35.0,35.0
クロスザウォール,14.0,14.0,2,4.0,0.0,0.0
クロスザルビコン,6.4,8.0,6,4.0,0.0,0.0
クロスボーダー,5.166666666666667,4.0,7,4.0,35.0,35.0
クロスマジェスティ,11.0,9.0,5,4.0,0.0,0.0
クロスライセンス,7.375,4.0,9,4.0,0.0,0.0
クロスレジーナ,8.0,10.0,4,4.0,35.0,35.0
クロスレート,8.0,10.0,4,4.0,0.0,0.0
クロダブシ,7.6,8.0,6,4.0,0.0,0.0
クロックフォード,4.2,1.0,11,4.0,0.0,0.0
クロデメニル,9.0,6.0,7,4.0,0.0,0.0
クロドラバール,7.153846153846154,5.0,14,4.0,35.0,13.461538461538462
クロナ,7.0,7.0,3,4.0,35.0,35.0
クロニクル,5.857142857142857,8.0,8,4.0,35.0,35.0
クロニクルノヴァ,14.0,14.0,2,4.0,0.0,0.0
クロノスバレット,3.4444444444444446,1.0,10,4.0,35.0,35.0
クロノネクサス,10.666666666666666,8.0,4,4.0,0.0,0.0
クロノレガリス,11.0,16.0,3,4.0,35.0,35.0
クロパラントゥ,8.5,7.0,5,4.0,0.0,0.0
クロボタン,13.0,13.0,2,4.0,35.0,35.0
クロマク,7.0,7.0,2,4.0,0.0,0.0
クロミ,8.0,8.0,1,4.0,35.0,35.0
クロミナンス,4.0,10.0,6,4.0,35.0,7.0
クロムハーツガール,12.0,12.0,2,4.0,35.0,35.0
クロメヒョウ,7.0,5.0,3,4.0,35.0,17.5
クロユキ,10.222222222222221,11.0,10,4.0,35.0,23.333333333333332
クロユリジョウ,8.0,8.0,1,4.0,35.0,35.0
クロライナ,12.5,13.0,3,4.0,0.0,0.0
クロリン,8.0,8.0,1,4.0,35.0,35.0
クロレ,8.0,8.0,1,4.0,35.0,35.0
クロワデュノール,1.5714285714285714,1.0,8,4.0,35.0,15.0
クロワール,10.0,10.0,2,4.0,35.0,35.0
クロンヌジャン,6.333333333333333,2.0,4,4.0,35.0,23.333333333333332
クロンヌドラレーヌ,7.8,1.0,6,4.0,0.0,0.0
クロースコンバット,5.666666666666667,15.0,13,4.0,35.0,8.75
クロームクロス,8.0,8.0,1,4.0,35.0,35.0
クロームノワール,8.0,8.0,1,4.0,35.0,35.0
クロールキック,8.0,8.0,1,4.0,35.0,35.0
クワイエットアイ,2.0,1.0,4,4.0,0.0,0.0
クワイエットホーク,5.0,5.0,2,4.0,0.0,0.0
クワイトポッシブル,9.0,9.0,5,4.0,0.0,0.0
クワッドマリニン,8.0,9.0,4,4.0,35.0,35.0
クワッドルッツ,11.5,15.0,5,4.0,0.0,0.0
クヴェレ,7.222222222222222,9.0,10,4.0,35.0,7.777777777777778
クーアフュルスト,4.785714285714286,5.0,15,4.0,35.0,5.0
クータモ,12.0,11.0,3,4.0,35.0,35.0
クーデピンヌ,9.333333333333334,6.0,7,4.0,0.0,0.0
クーデメイン,9.666666666666666,5.0,4,4.0,0.0,0.0
クーデール,5.9,13.0,11,4.0,35.0,14.0
クープグラッセ,8.25,10.0,5,4.0,35.0,35.0
クープラン,8.0,8.0,1,4.0,35.0,35.0
クーペリー,15.0,15.0,2,4.0,0.0,0.0
クーリッジテソーロ,9.285714285714286,15.0,8,4.0,0.0,0.0
クールカグラ,9.0,10.0,4,4.0,0.0,0.0
クールクラバート,11.0,11.0,4,4.0,0.0,0.0
クールシェリー,10.5,13.0,3,4.0,0.0,0.0
クールシェルタ,8.058823529411764,6.0,18,4.0,35.0,12.352941176470589
クールジャーマン,7.0,3.0,7,4.0,0.0,0.0
クールソル,7.428571428571429,15.0,15,4.0,35.0,7.5
クールチェンジ,6.5,8.0,3,4.0,35.0,17.5
クールデイトナ,5.0,13.0,6,4.0,35.0,35.0
クールトラッカー,8.0,8.0,1,4.0,35.0,35.0
クールドリオン,2.5,2.0,3,4.0,35.0,35.0
クールハッカー,6.0,6.0,2,4.0,0.0,0.0
クールフィデル,4.0,3.0,4,4.0,35.0,23.333333333333332
クールフィールド,7.0,4.0,5,4.0,35.0,26.25
クールフラン,8.0,10.0,3,4.0,35.0,35.0
クールブロン,6.714285714285714,5.0,15,4.0,35.0,12.5
クールベイビー,7.615384615384615,10.0,14,4.0,35.0,5.384615384615385
クールマイユール,8.0,8.0,1,4.0,35.0,35.0
クールマーキュリー,8.0,8.0,1,4.0,35.0,35.0
クールマーロウ,8.142857142857142,6.0,8,4.0,0.0,0.0
クールミラボー,5.2,8.0,16,4.0,35.0,14.0
クールムーア,8.0,4.0,3,4.0,0.0,0.0
クールメゾン,10.0,10.0,2,4.0,0.0,0.0
クールロジック,10.0,10.0,2,4.0,0.0,0.0
クーレスト,7.333333333333333,10.0,4,4.0,35.0,35.0
グァルジャー,13.0,12.0,5,4.0,0.0,0.0
グアラニア,8.545454545454545,4.0,12,4.0,35.0,3.1818181818181817
グエムル,8.0,8.0,1,4.0,35.0,35.0
グエンフィヴァル,8.0,8.0,5,4.0,0.0,0.0
グシチャンノホシ,14.0,14.0,2,4.0,0.0,0.0
グシュタッドパレス,8.0,8.0,1,4.0,35.0,35.0
グスク,11.5,10.0,3,4.0,35.0,35.0
グスタフ,8.5,12.0,3,4.0,35.0,35.0
グッジョブ,5.076923076923077,9.0,14,4.0,35.0,10.76923076923077
グッデイ,9.666666666666666,13.0,4,4.0,35.0,35.0
グットディール,10.0,11.0,5,4.0,0.0,0.0
グットフォーチュン,8.0,8.0,1,4.0,35.0,35.0
グッドイナフ,11.6,9.0,6,4.0,0.0,0.0
グッドウッドガイ,5.666666666666667,1.0,10,4.0,0.0,0.0
グッドエクスプレス,3.0,3.0,5,4.0,0.0,0.0
グッドグロウス,10.1,7.0,11,4.0,0.0,0.0
グッドピース,5.4,5.0,6,4.0,35.0,35.0
グッドホース,7.0,5.0,3,4.0,35.0,17.5
グッドムード,8.0,8.0,1,4.0,35.0,35.0
グッドレイン,12.5,17.0,3,4.0,0.0,0.0
グッドレッスン,8.0,8.0,1,4.0,35.0,35.0
グッドロマンス,10.6,10.0,6,4.0,0.0,0.0
グッドヴァイブス,7.666666666666667,7.0,10,4.0,35.0,23.333333333333332
グッバイウェーブ,6.0,9.0,11,4.0,35.0,3.5
グティ,8.6,12.0,6,4.0,35.0,28.0
グディンナ,7.214285714285714,3.0,15,4.0,35.0,7.5
グブリーサビタン,8.5,11.0,3,4.0,0.0,0.0
グラインドアウト,15.0,15.0,2,4.0,0.0,0.0
グラウンドビート,6.090909090909091,4.0,12,4.0,35.0,3.1818181818181817
グラシアス,9.333333333333334,8.0,4,4.0,0.0,0.0
グラシアムヘール,3.6666666666666665,3.0,4,4.0,35.0,35.0
グラス,11.0,11.0,2,4.0,0.0,0.0
グラスアロー,13.5,12.0,3,4.0,35.0,17.5
グラスグリード,4.5,3.0,3,4.0,0.0,0.0
グラスゴー,5.5,1.0,5,4.0,35.0,35.0
グラスシフォン,8.714285714285714,14.0,15,4.0,35.0,10.0
グラスダイヤモンド,12.666666666666666,11.0,4,4.0,0.0,0.0
グラスチアー,11.75,10.0,5,4.0,0.0,0.0
グラスティアラ,14.5,15.0,3,4.0,0.0,0.0
グラストンベリー,10.571428571428571,13.0,8,4.0,0.0,0.0
グラスハーティー,5.4,5.0,6,4.0,35.0,21.0
グラスビジョン,8.857142857142858,13.0,15,4.0,35.0,17.5
グラスビーチ,13.0,13.0,4,4.0,35.0,23.333333333333332
グラスファイン,8.0,8.0,1,4.0,35.0,35.0
グラスフェザー,15.0,15.0,2,4.0,35.0,35.0
グラスフェロー,6.428571428571429,6.0,8,4.0,0.0,0.0
グラスフラッグ,9.0,6.0,4,4.0,0.0,0.0
グラスブランシュ,7.916666666666667,12.0,13,4.0,35.0,17.5
グラスベリー,12.0,14.0,5,4.0,35.0,26.25
グラスベルグ,5.0,5.0,2,4.0,35.0,35.0
グラスミヤラビ,16.0,16.0,3,4.0,0.0,0.0
グラスリッキー,9.0,4.0,5,4.0,35.0,35.0
グラッシー,14.5,14.0,3,4.0,0.0,0.0
グラツィオーソ,7.222222222222222,14.0,10,4.0,35.0,7.777777777777778
グラティアス,8.545454545454545,7.0,12,4.0,35.0,15.909090909090908
グラティアスミノル,7.866666666666666,15.0,16,4.0,35.0,14.0
グラティアム,2.8,5.0,6,4.0,35.0,7.0
グラディオール,10.5,12.0,3,4.0,35.0,35.0
グラデュエール,11.0,10.0,4,4.0,35.0,35.0
グラニット,6.0,7.0,18,4.0,35.0,4.117647058823529
グラニットピーク,8.333333333333334,9.0,13,4.0,35.0,8.75
グラビティブラスト,14.0,14.0,3,4.0,0.0,0.0
グラフ,8.0,8.0,1,4.0,35.0,35.0
グラフィティアート,3.857142857142857,4.0,8,4.0,35.0,30.0
グラフレナート,4.333333333333333,4.0,4,4.0,0.0,0.0
グラブビクトリー,8.25,7.0,5,4.0,35.0,26.25
グラマラス,6.0,5.0,4,4.0,35.0,35.0
グラムエッジ,12.0,12.0,2,4.0,35.0,35.0
グランアトミカ,3.5,5.0,7,4.0,0.0,0.0
グランアリエル,8.0,8.0,1,4.0,35.0,35.0
グランアルザン,11.25,8.0,5,4.0,0.0,0.0
グランアルティスタ,6.0,1.0,15,4.0,35.0,7.5
グランアルト,5.0,4.0,7,4.0,35.0,23.333333333333332
グランエシェゾー,8.714285714285714,9.0,15,4.0,35.0,12.5
グランオルカ,10.333333333333334,16.0,7,4.0,35.0,23.333333333333332
グランオース,7.5,12.0,9,4.0,35.0,13.125
グランカッサ,6.8,12.0,11,4.0,35.0,10.5
グランカメリア,4.545454545454546,2.0,12,4.0,35.0,3.1818181818181817
グランカンタンテ,6.75,11.0,13,4.0,35.0,11.666666666666666
グランキングオー,5.416666666666667,1.0,13,4.0,35.0,26.25
グランキンバリー,10.0,10.0,2,4.0,35.0,35.0
グランクリュ,14.0,14.0,2,4.0,0.0,0.0
グラングスト,11.333333333333334,9.0,4,4.0,0.0,0.0
グランコネクシオン,7.277777777777778,6.0,19,4.0,35.0,13.61111111111111
グランサバナ,11.4,14.0,6,4.0,0.0,0.0
グランシャット,5.909090909090909,6.0,12,4.0,35.0,6.363636363636363
グランシャン,5.166666666666667,2.0,7,4.0,35.0,35.0
グランシャーク,8.0,6.0,3,4.0,35.0,35.0
グランジュール,6.285714285714286,4.0,8,4.0,0.0,0.0
グランジョルノ,7.25,14.0,5,4.0,35.0,17.5
グランスカーレット,9.0,9.0,3,4.0,0.0,0.0
グランスターオー,8.833333333333334,13.0,7,4.0,35.0,17.5
グランスピード,15.0,15.0,2,4.0,0.0,0.0
グランスプリント,8.0,8.0,1,4.0,35.0,35.0
グランスラムアスク,8.941176470588236,7.0,18,4.0,35.0,2.0588235294117645
グランセイント,7.5,2.0,3,4.0,0.0,0.0
グランセゾン,4.625,2.0,9,4.0,35.0,13.125
グランセレスト,4.571428571428571,4.0,8,4.0,35.0,15.0
グランソシエ,5.6,9.0,6,4.0,0.0,0.0
グランダイト,14.0,14.0,2,4.0,0.0,0.0
グランツアーテム,9.25,7.0,9,4.0,35.0,8.75
グランツベリー,8.1875,4.0,17,4.0,35.0,2.1875
グランツリッター,6.0,6.0,2,4.0,0.0,0.0
グランツローゼ,8.272727272727273,11.0,12,4.0,35.0,6.363636363636363
グランテスト,6.5625,5.0,17,4.0,35.0,19.6875
グランテミス,8.0,8.0,1,4.0,35.0,35.0
グランテレーズ,5.55,2.0,21,4.0,35.0,5.25
グランディア,4.5,3.0,11,4.0,35.0,10.5
グランディマージュ,11.5,10.0,3,4.0,35.0,35.0
グランデサラス,6.571428571428571,9.0,15,4.0,35.0,17.5
グランデスフィーダ,7.5,11.0,13,4.0,35.0,26.25
グランデフィオーレ,8.0,8.0,1,4.0,35.0,35.0
グランデマーレ,13.25,15.0,5,4.0,0.0,0.0
グランドエスケープ,7.615384615384615,13.0,14,4.0,35.0,5.384615384615385
グランドオーパス,3.0,4.0,6,4.0,35.0,28.0
グランドカリナン,7.176470588235294,10.0,18,4.0,35.0,8.235294117647058
グランドクロス,8.0,8.0,1,4.0,35.0,35.0
グランドゴールド,7.0,4.0,11,4.0,35.0,7.0
グランドシュギョク,15.0,15.0,3,4.0,0.0,0.0
グランドスウェル,8.0,7.0,6,4.0,35.0,35.0
グランドセントラル,5.3125,14.0,17,4.0,35.0,6.5625
グランドタルマエ,15.0,15.0,2,4.0,35.0,35.0
グランドネビュラ,6.666666666666667,5.0,4,4.0,35.0,23.333333333333332
グランドハーバー,8.0,6.0,4,4.0,0.0,0.0
グランドフィナーレ,8.333333333333334,7.0,4,4.0,35.0,35.0
グランドフォレスト,11.8,15.0,6,4.0,35.0,7.0
グランドフューチャ,10.333333333333334,7.0,10,4.0,0.0,0.0
グランドブレーカー,9.571428571428571,4.0,8,4.0,0.0,0.0
グランドプラージュ,1.25,1.0,5,4.0,35.0,35.0
グランドライズ,8.0,8.0,1,4.0,35.0,35.0
グランドライン,11.0,11.0,2,4.0,0.0,0.0
グランナヴィール,6.571428571428571,2.0,15,4.0,35.0,17.5
グランノーヴ,11.25,9.0,5,4.0,0.0,0.0
グランバイオレット,11.625,15.0,9,4.0,35.0,4.375
グランパリッシュ,9.375,14.0,9,4.0,35.0,17.5
グランパープル,12.5,14.0,3,4.0,0.0,0.0
グランヒマラヤ,10.0,12.0,8,4.0,0.0,0.0
グランビスタ,11.5,9.0,3,4.0,35.0,35.0
グランファラオ,5.333333333333333,6.0,7,4.0,0.0,0.0
グランフィエスタ,13.0,10.0,3,4.0,35.0,35.0
グランフィエルテ,8.0,8.0,1,4.0,35.0,35.0
グランフォワイエ,10.0,11.0,3,4.0,0.0,0.0
グランフォーブル,6.454545454545454,1.0,12,4.0,35.0,9.545454545454545
グランフルス,11.0,8.0,4,4.0,35.0,23.333333333333332
グランブラーヴ,11.25,15.0,5,4.0,35.0,35.0
グランブーケ,8.0,8.0,1,4.0,35.0,35.0
グランプラネッタ,16.0,16.0,5,4.0,35.0,17.5
グランプリショット,7.285714285714286,10.0,8,4.0,0.0,0.0
グランプレジール,3.5714285714285716,5.0,8,4.0,35.0,5.0
グランヘラクレス,8.0,8.0,1,4.0,35.0,35.0
グランベルナデット,11.0,11.0,3,4.0,0.0,0.0
グランマイース,8.0,8.0,1,4.0,35.0,35.0
グランマエストロ,3.6,2.0,6,4.0,35.0,21.0
グランマズドリーム,6.333333333333333,8.0,4,4.0,35.0,35.0
グランメドウ,2.0,1.0,3,4.0,0.0,0.0
グランラティーナ,16.0,16.0,2,4.0,0.0,0.0
グランリッジライン,15.0,15.0,2,4.0,0.0,0.0
グランルチャドール,1.0,1.0,2,4.0,0.0,0.0
グランルーチェ,9.363636363636363,10.0,12,4.0,35.0,15.909090909090908
グランレイ,10.0,11.0,4,4.0,0.0,0.0
グランレザンドール,9.6,9.0,6,4.0,35.0,7.0
グランワールド,4.666666666666667,5.0,4,4.0,35.0,35.0
グランヴァルール,11.25,15.0,5,4.0,0.0,0.0
グランヴィノス,1.6666666666666667,2.0,4,4.0,35.0,23.333333333333332
グランヴィルローズ,10.0,10.0,3,4.0,0.0,0.0
グラヴィス,6.368421052631579,8.0,20,4.0,35.0,11.052631578947368
グラヴィテ,6.9375,5.0,17,4.0,35.0,19.6875
グラヴィル,8.0,8.0,1,4.0,35.0,35.0
グラースオショコラ,12.666666666666666,13.0,4,4.0,35.0,23.333333333333332
グリオンヴール,2.0,3.0,3,4.0,35.0,17.5
グリスタン,7.6,9.0,6,4.0,0.0,0.0
グリッタードール,8.875,8.0,9,4.0,35.0,35.0
グリットウォリアー,8.0,8.0,1,4.0,35.0,35.0
グリニッジローズ,16.0,16.0,2,4.0,35.0,35.0
グリフォン,5.083333333333333,16.0,13,4.0,35.0,11.666666666666666
グリプトグラフィ,7.4,8.0,6,4.0,35.0,28.0
グリマルディ,14.0,16.0,3,4.0,0.0,0.0
グリミスティ,5.0,5.0,3,4.0,35.0,35.0
グリモワール,9.75,6.0,9,4.0,0.0,0.0
グリュイエール,8.666666666666666,13.0,4,4.0,35.0,35.0
グリュック,11.75,14.0,5,4.0,35.0,35.0
グリュースゴット,8.285714285714286,9.0,8,4.0,35.0,5.0
グリューネグリーン,8.1,13.0,11,4.0,0.0,0.0
グリューネベルグ,4.333333333333333,2.0,4,4.0,35.0,11.666666666666666
グリューヴルム,6.666666666666667,9.0,7,4.0,35.0,5.833333333333333
グリンダ,7.0,7.0,2,4.0,0.0,0.0
グリントリッター,8.555555555555555,9.0,10,4.0,0.0,0.0
グリーズマン,4.7272727272727275,8.0,12,4.0,35.0,15.909090909090908
グリーティングデー,15.0,17.0,3,4.0,35.0,17.5
グリームスター,8.333333333333334,12.0,7,4.0,35.0,11.666666666666666
グリーンエナジー,1.6666666666666667,1.0,4,4.0,35.0,11.666666666666666
グリーンエリクサー,6.5,7.0,5,4.0,0.0,0.0
グリーンガーネット,7.166666666666667,8.0,7,4.0,35.0,23.333333333333332
グリーンゴー,3.25,2.0,5,4.0,35.0,26.25
グリーンスリーヴス,8.5,8.0,3,4.0,0.0,0.0
グリーンライズ,13.333333333333334,15.0,4,4.0,35.0,11.666666666666666
グルナルーフス,8.222222222222221,3.0,10,4.0,35.0,15.555555555555555
グルノーブル,14.0,14.0,2,4.0,0.0,0.0
グルーヴィデザイン,9.0,8.0,3,4.0,35.0,35.0
グルーヴィーオン,6.5,3.0,9,4.0,35.0,17.5
グルーヴビート,5.0,1.0,14,4.0,35.0,5.384615384615385
グレアミラージュ,8.6,8.0,11,4.0,0.0,0.0
グレイイメル,9.666666666666666,11.0,4,4.0,35.0,35.0
グレイイングリーン,6.6,11.0,16,4.0,35.0,16.333333333333332
グレイウェザーズ,9.5,10.0,5,4.0,0.0,0.0
グレイグアン,9.0,11.0,5,4.0,0.0,0.0
グレイシエーション,4.0,2.0,3,4.0,35.0,17.5
グレイスオブゴッド,8.5,12.0,13,4.0,35.0,8.75
グレイスカリヨン,7.4,9.0,11,4.0,0.0,0.0
グレイスザクラウン,6.666666666666667,9.0,13,4.0,35.0,14.583333333333334
グレイストーム,8.0,8.0,1,4.0,35.0,35.0
グレイスフルマーチ,6.3,3.0,11,4.0,35.0,17.5
グレイスルーラー,6.5,7.0,3,4.0,35.0,35.0
グレイテストソング,3.875,10.0,9,4.0,35.0,21.875
グレイトエイト,8.0,8.0,1,4.0,35.0,35.0
グレイトクラウン,7.117647058823529,9.0,18,4.0,35.0,4.117647058823529
グレイトゲイナー,9.5,9.0,7,4.0,0.0,0.0
グレイトソン,4.75,2.0,5,4.0,35.0,35.0
グレイトデザイア,15.0,15.0,2,4.0,0.0,0.0
グレイトフルトップ,15.5,15.0,3,4.0,0.0,0.0
グレイトフルペイン,7.285714285714286,16.0,8,4.0,35.0,5.0
グレイトボヤージュ,15.0,15.0,2,4.0,0.0,0.0
グレイトマジック,7.75,6.0,9,4.0,0.0,0.0
グレイトレッグ,9.666666666666666,9.0,4,4.0,35.0,11.666666666666666
グレイルクエスト,3.8,5.0,11,4.0,35.0,31.5
グレイワークス,15.0,15.0,2,4.0,0.0,0.0
グレインワーク,8.0,8.0,1,4.0,35.0,35.0
グレコ,13.0,13.0,2,4.0,35.0,35.0
グレゴリオ,5.6,9.0,6,4.0,35.0,14.0
グレタ,7.818181818181818,9.0,12,4.0,35.0,9.545454545454545
グレック,8.0,8.0,1,4.0,35.0,35.0
グレッソネイ,8.0,8.0,2,4.0,0.0,0.0
グレナマディー,11.4,13.0,6,4.0,0.0,0.0
グレノークス,6.75,10.0,13,4.0,35.0,11.666666666666666
グレン,9.8,10.0,6,4.0,0.0,0.0
グレンガリー,15.0,15.0,3,4.0,0.0,0.0
グレンセロース,7.5,10.0,3,4.0,35.0,35.0
グレンノアラシ,10.666666666666666,10.0,4,4.0,0.0,0.0
グレヴィレア,8.0,8.0,2,4.0,0.0,0.0
グレースアイリス,10.166666666666666,10.0,7,4.0,0.0,0.0
グレースサンライズ,14.0,14.0,2,4.0,0.0,0.0
グレースシャルマン,10.0,10.0,4,4.0,35.0,11.666666666666666
グレースジェンヌ,7.333333333333333,14.0,4,4.0,35.0,35.0
グレースチャクラ,15.0,15.0,2,4.0,35.0,35.0
グレースルージュ,11.777777777777779,13.0,10,4.0,35.0,11.666666666666666
グレースレニー,13.333333333333334,15.0,7,4.0,0.0,0.0
グレーターグレイ,14.5,13.0,3,4.0,35.0,35.0
グレーターバーチュ,8.5,11.0,3,4.0,0.0,0.0
グレーデール,8.0,8.0,1,4.0,35.0,35.0
グレートアゲイン,10.333333333333334,10.0,4,4.0,35.0,35.0
グレートサンドシー,8.0,8.0,1,4.0,35.0,35.0
グレートシューター,9.6,15.0,6,4.0,0.0,0.0
グレートシール,1.0,1.0,2,4.0,35.0,35.0
グレートジーンズ,11.6,8.0,6,4.0,35.0,35.0
グレートスピリット,5.714285714285714,3.0,8,4.0,0.0,0.0
グレートセンス,10.0,10.0,2,4.0,0.0,0.0
グレートバローズ,7.0,4.0,3,4.0,0.0,0.0
グレートロード,8.0,8.0,1,4.0,35.0,35.0
グレーヌドジョワ,5.666666666666667,8.0,7,4.0,35.0,17.5
グレープレモネード,16.0,16.0,2,4.0,35.0,35.0
グロウミニョン,11.5,13.0,3,4.0,35.0,17.5
グロスビーク,2.4,1.0,6,4.0,35.0,7.0
グロズニーグラード,8.0,8.0,1,4.0,35.0,35.0
グロッシェン,6.888888888888889,6.0,10,4.0,35.0,15.555555555555555
グロバーテソーロ,5.6875,9.0,17,4.0,35.0,4.375
グロリアス,4.75,5.0,9,4.0,35.0,30.625
グロリアスアスペン,13.5,12.0,3,4.0,35.0,17.5
グロリアスグレイス,6.0,6.0,2,4.0,0.0,0.0
グロリアスニケ,8.0,8.0,1,4.0,35.0,35.0
グロリアスヒーロー,7.882352941176471,14.0,18,4.0,35.0,6.176470588235294
グロリアスマーチ,3.75,6.0,9,4.0,35.0,21.875
グロリアムンディ,6.0,8.0,4,4.0,0.0,0.0
グロリアラウス,3.8461538461538463,4.0,14,4.0,35.0,16.153846153846153
グロリオン,11.5,11.0,3,4.0,35.0,17.5
グロリモーニ,8.0,8.0,2,4.0,0.0,0.0
グロワールスカイ,6.666666666666667,6.0,7,4.0,0.0,0.0
グローサートラウム,10.166666666666666,10.0,7,4.0,35.0,23.333333333333332
グローツラング,6.666666666666667,4.0,4,4.0,0.0,0.0
グロートカイザー,9.0,10.0,3,4.0,35.0,35.0
グローバリスト,15.5,16.0,3,4.0,0.0,0.0
グローブアマランス,6.714285714285714,4.0,15,4.0,35.0,17.5
グローブフェイム,8.6,7.0,6,4.0,0.0,0.0
グローブミッション,11.333333333333334,15.0,4,4.0,35.0,11.666666666666666
グローリアスカペラ,13.666666666666666,11.0,4,4.0,0.0,0.0
グローリアスダンス,5.0,5.0,2,4.0,35.0,35.0
グローリアミノル,7.75,14.0,9,4.0,0.0,0.0
グローリーアテイン,10.153846153846153,9.0,14,4.0,35.0,2.6923076923076925
グローリーカフェ,7.333333333333333,7.0,4,4.0,0.0,0.0
グローリーバローズ,8.0,8.0,1,4.0,35.0,35.0
グローリーリンク,2.375,1.0,9,4.0,35.0,26.25
グローリーロード,11.0,7.0,3,4.0,0.0,0.0
グローリーワン,8.0,8.0,1,4.0,35.0,35.0
グンバイ,8.5,12.0,3,4.0,35.0,35.0
グーテンベルク,4.333333333333333,10.0,7,4.0,35.0,17.5
グーデンドラーク,8.333333333333334,16.0,10,4.0,35.0,19.444444444444443
グーフドリファール,6.25,10.0,9,4.0,35.0,4.375
グールマン,9.0,9.0,5,4.0,0.0,0.0
グーヴェルナイユ,4.333333333333333,11.0,7,4.0,0.0,0.0
ケアラウレア,12.0,12.0,2,4.0,0.0,0.0
ケアンズ,9.4,6.0,11,4.0,35.0,17.5
ケイアイアギト,1.3333333333333333,1.0,4,4.0,35.0,11.666666666666666
ケイアイアニラ,4.2,4.0,6,4.0,0.0,0.0
ケイアイアマゾン,6.285714285714286,7.0,8,4.0,35.0,35.0
ケイアイアルタイル,6.333333333333333,8.0,10,4.0,35.0,15.555555555555555
ケイアイアンタレス,7.333333333333333,8.0,10,4.0,35.0,7.777777777777778
ケイアイエルナト,6.5,1.0,3,4.0,0.0,0.0
ケイアイオメガ,9.625,8.0,9,4.0,0.0,0.0
ケイアイカペラ,5.8,9.0,6,4.0,0.0,0.0
ケイアイカラキア,9.25,7.0,9,4.0,35.0,4.375
ケイアイギルス,8.0,8.0,1,4.0,35.0,35.0
ケイアイクウガ,6.0,5.0,3,4.0,35.0,35.0
ケイアイクビラ,7.6,13.0,6,4.0,35.0,21.0
ケイアイサンデラ,6.8,12.0,11,4.0,35.0,7.0
ケイアイシェルビー,9.636363636363637,6.0,12,4.0,35.0,15.909090909090908
ケイアイセナ,4.833333333333333,10.0,13,4.0,35.0,8.75
ケイアイテア,11.0,17.0,5,4.0,35.0,35.0
ケイアイドリー,16.0,16.0,2,4.0,35.0,35.0
ケイアイパープル,4.0,4.0,2,4.0,0.0,0.0
ケイアイブイスリー,7.6,16.0,11,4.0,35.0,24.5
ケイアイブラック,9.75,11.0,5,4.0,35.0,35.0
ケイアイプロキオン,11.0,17.0,8,4.0,0.0,0.0
ケイアイマウンガ,6.4,6.0,6,4.0,35.0,35.0
ケイアイマハナ,7.625,10.0,9,4.0,35.0,17.5
ケイアイメキラ,6.277777777777778,1.0,19,4.0,35.0,19.444444444444443
ケイアイメビウス,11.5,7.0,3,4.0,0.0,0.0
ケイアイメープル,16.0,16.0,2,4.0,0.0,0.0
ケイアイロベージ,9.0,11.0,6,4.0,0.0,0.0
ケイアイワイラーパ,6.357142857142857,11.0,15,4.0,35.0,20.0
ケイアイワカポノ,16.0,16.0,2,4.0,35.0,35.0
ケイエイト,7.181818181818182,15.0,23,4.0,35.0,6.363636363636363
ケイケイ,5.8125,5.0,17,4.0,35.0,17.5
ケイコウギュウゴ,6.0,4.0,8,4.0,35.0,30.0
ケイサンノーブル,11.428571428571429,13.0,8,4.0,0.0,0.0
ケイジ,10.666666666666666,9.0,4,4.0,35.0,35.0
ケイツーキップ,5.0,5.0,2,4.0,35.0,35.0
ケイツーギルダー,7.3,9.0,11,4.0,35.0,7.0
ケイツークルサード,12.0,16.0,3,4.0,35.0,17.5
ケイツークローン,6.157894736842105,8.0,20,4.0,35.0,3.6842105263157894
ケイツーコルーニ,8.0,8.0,1,4.0,35.0,35.0
ケイツーシェケル,14.0,14.0,2,4.0,0.0,0.0
ケイツースクード,10.25,14.0,5,4.0,35.0,35.0
ケイツーセディ,16.0,16.0,2,4.0,0.0,0.0
